GIST_mikigom	0.962112337	0.983500615
Connectome	0.962006141	0.981430260
Wenbin_Yang	0.961653717	0.980039189
INI	0.960896081	0.979669756
d_test_01	0.960735201	0.979339445
Blackeagles	0.960722001	0.980826443
M5	0.960538209	0.981070542
Bayesian Deep Learning	0.960214033	0.981401110
cvlab3	0.959948812	0.977279120
Tongji	0.959536506	0.982097034
INSA	0.959496964	0.977372227
NEC	0.958963646	0.983289309
the University Key Laboratory of Intelligent Perception and Computing of Anhui Province	0.958659413	0.982715884
ligong university	0.957685215	0.981137552
Pattern Recognition and Bioinformatics Group	0.957335946	0.981601559
Jian Gao	0.955694448	0.980312488
PB-TOP	0.955183354	0.979194701
Medical Image Analysis	0.954914186	0.976285649
CheerM	0.954846392	0.981475715
TernausNet_Kevin	0.953305602	0.980605949
huananshifandaxue	0.951492988	0.979596534
MLL-ETH	0.951186104	0.977907892
kurilab	0.951091135	0.976296438
Cal Poly Vision Lab	0.949792270	0.980319511
CanadaGoose	0.948064999	0.975437306
AMFDU	0.946090507	0.977811934
projSeg	0.944487345	0.970109398
CRVI_T	0.943097133	0.972614613
Genki	0.942639409	0.972802134
Sharpsight	0.942627752	0.977378175
NearLab	0.941987271	0.976824393
Image processing	0.941153515	0.975044348
SC	0.940827467	0.974798717
ndunet	0.940742606	0.975846698
GIST_AILab	0.939696502	0.978386209
MIP	0.939090608	0.975884362
HealthAI	0.936822682	0.970591590
seetatech	0.935102039	0.975639726
Coxlab	0.934812201	0.973168021
ganbarena	0.934425957	0.974944680
Hello	0.933631276	0.948216089
Computer Vision Research Lab	0.933009841	0.967531297
DPLN	0.931631056	0.964520207
Craig Glastonbury - Uni. Oxford (BDI)	0.930373937	0.973246158
IAL GreedyFixation	0.929801928	0.962515081
UofU	0.924310673	0.971659340
CVRL Group	0.923969462	0.961239383
BIT	0.921187562	0.974459111
sdu	0.920704013	0.964120122
department of systems science graduate school of informatics	0.918092060	0.969975391
Lasse Reedtz	0.910695764	0.967870636
CB	0.910387395	0.967563441
TSC+PP	0.907567311	0.959084868
ECHO	0.904950646	0.966244082
Artificial intelligence Group	0.900958191	0.969752335
CellProfiler	0.895904252	0.955364960
GVI	0.894178108	0.951637443
CoMPLEX	0.893463561	0.944267289
GISThealthAI	0.890477160	0.960760236
DeepContourMaps	0.890150089	0.922980357
SBC	0.885144655	0.947745090
ml	0.885035937	0.952421249
ICOS	0.881278657	0.938157348
Computer Vision Group Jena	0.877586151	0.934237156
Vision and Imaging Science UCL	0.875884459	0.946587603
SG123	0.872490253	0.960109659
CLP	0.868008764	0.933469570
ACRV / AIML	0.865909280	0.931101961
mla	0.863113759	0.948116617
PurpleMatter	0.857840606	0.923499567
IMMI	0.854114447	0.936732143
rocket	0.851703203	0.920140450
MILAB	0.843375685	0.935592478
Freiburg	0.829623154	0.924276411
department of electrical and computer engineering	0.827452189	0.916702332
splab	0.820554702	0.912364071
MGUCC	0.814756206	0.935011821
yuanzidancountry	0.791804152	0.930067573
Anton	0.787717867	0.880622600
nivik	0.785081669	0.914447894
NIST	0.779460023	0.846405955
Bar-Ilan	0.772985355	0.857204688
ccu	0.741582398	0.826917458
** threshold **	0.724521829	0.817598215
SAIL	0.716003594	0.889123870
PENGGENB	0.630105011	0.770402185
Taopu	0.600648196	0.811556220
DUT	0.468209277	0.699180755
R&D Group	0.468117040	0.737618009
RS	0.424034761	0.686549047
ApnaNet	0.418288960	0.663532366
ouclab	0.415984242	0.671582970
cci.hit.uncc	0.410858155	0.667397185
224	0.393477814	0.681622822
VUT FEKT Brno	0.390068950	0.678224866
EECS	0.304697611	0.661877429
linglab	0.271585270	0.647697969
BKHCMUT	0.271585270	0.647697969
ram_joshi	0.243712991	0.372942509
DL	0.145256333	0.116791257
Seung Lab	0.144473947	0.000000000
